,제목,평점,장르,줄거리
40,뮬란,4,액션,"무예에 남다른 재능을 지닌 ‘뮬란’은좋은 집안과 인연을 맺어 가문을 빛내길 바라는부모님의 뜻에 따라 본연의 모습을 억누르고 성장한다.어느 날, 북쪽 오랑캐들이 침입하자 황제는 징집령을 내리고‘뮬란’은 아픈 아버지를 대신해 가족들 몰래 전장에 나가기로 결심한다.여자라는 게 발각되면 목숨을 잃을 수도 있는 상황 속에서‘뮬란’은 타고난 용기와 지혜로 역경을 이겨내며 전사로 성장한다.마침내 잔인무도한 적장 ‘보리 칸’과 마녀 ‘시아니앙’을 마주하게 된 ‘뮬란’.그녀는 위험에 빠진 동료와 가족을 구하고 진정한 전사로 거듭날 수 있을 것인가"
41,테넷,8,액션,시간의 흐름을 뒤집는 인버전을 통해 현재와 미래를 오가며 세상을 파괴하려는 사토르(케네스 브래너)를 막기 위해 투입된 작전의 주도자(존 데이비드 워싱턴). 인버전에 대한 정보를 가진 닐(로버트 패틴슨)과 미술품 감정사이자 사토르에 대한 복수심이 가득한 그의 아내 캣(엘리자베스 데비키)과 협력해 미래의 공격에 맞서 제3차 세계대전을 막아야 한다!
42,"안녕, 미누",9,다큐멘터리,"고향집 뒷산 히말라야는 몰라도 ‘목포의 눈물’이 애창곡인 네팔사람 ‘미누’. 스무 살에 한국에 와 식당일부터 봉제공장 재단사, 밴드 보컬까지 18년.한국을 누구보다 사랑하며 청춘을 바쳤지만 11년 전 강제 추방당했다.네팔로 돌아가 어엿한 사업가로 성장하고도 한국이 사무치게 그립다.그런 미누를 위해 옛 밴드 멤버들이 네팔에 날아와 함께 무대에 선다.눈에는 눈물이 맺히고, 마이크를 잡은 목장갑 손이 한없이 떨리는 미누.꿈만 같던 공연이 끝나고 미누는 “나 이제 죽어도 좋아”라며 환히 웃는데…"
43,카페 벨에포크,8,코미디,행복했던 그때 그 모든 것이 그리워진 ‘빅토르’는100% 고객 맞춤형 핸드메이드 시간여행의 설계자 ‘앙투안’의 초대로하룻밤의 시간여행을 떠난다그의 눈 앞에 마법처럼 펼쳐진 ‘카페 벨에포크’에서‘빅토르’는 꿈에 그리던 첫사랑과 재회하게 되는데...
44,레미제라블: 뮤지컬 콘서트,9,공연실황,"빵 한 조각을 훔친 죄로 19년 간의 감옥살이를 마친 후에도 전과자의 낙인이 찍힌 채 살아가는 장발장.장발장을 끈질기게 추격하며 그의 새로운 삶을 뒤흔드는 자베르 경감.주변 사람들의 모함으로 지독한 가난 속에서 아이를 위해 생존해가는 비운의 여인 판틴.장발장에게 희망이 되어 준 판틴의 딸 코제트.그리고 파리의 자유와 사랑을 위해 싸우는 마리우스, 에포닌, 앙졸라.사랑과 용서, 구원과 희망을 꿈꾸는 그들의 노래가스크린에 울려 퍼진다!"
45,공수도,8,액션,공수도장을 운영하는 아빠로부터 공수도를 배워온 소녀 ‘채영’이 홀어머니를 모시고 사는 순수하고 정의로운 소년 ‘종구’와 일진의 생활에 염증을 느끼고 새로운 시작을 위해 애쓰는 ‘해성’을 만나 공수도를 통해 함께 성장해가는 청춘 액션물
46,인비저블맨,7,공포/스릴러,"모든 것을 통제하려는 소시오패스 남자에게서 도망친 세실리아그의 자살 소식과 함께 상속받게 된 거액의 유산하지만 그날 이후, 누구에게도 보이지 않는 존재가 느껴지기 시작했다!"
47,닥터 두리틀,6,코미디,"동물들과 소통하는 특별한 능력을 지닌 닥터 두리틀(로버트 다우니 주니어)은 사랑하는 사람을 잃고 세상과 단절한 채 동물들과 친구가 되어 살아간다.어느 날, 여왕에게 알 수 없는 불치병이 생기고 왕국마저 위험에 빠지게 되자, 그의 놀라운 능력만이 모든 것을 해결할 수 있음을 알게 된다.세상을 구하기 위해서는 반드시 주어진 시간 안에 누구도 가보지 못했던 신비의 섬을 찾아내야만 하고,두리틀은 친구들과 함께 위험천만한 모험을 떠나게 되는데…"
48,"미안해요, 리키",9,드라마,"넉넉하지는 않지만 누구보다 행복한 가장 리키,안정적인 생활을 꿈꾸며 택배 회사에 취직하지만생각과는 다른 일상이 전개되고, 화목했던 가족은 뜻밖의 난관에 부딪히는데.. 성실하게 행복을 찾고 싶었던 리키의, 우리의 이야기가 찾아온다."
49,나이브스 아웃,9,공포/스릴러,베스트셀러 미스터리 작가가 85세 생일에 숨진 채 발견된다. 그의 죽음의 원인을 파헤치기 위해 경찰과 함께 탐정 브누아 블랑이 파견 되는데…
50,너의 여자친구,8,코미디,"눈만 마주쳐도 설레는 썸이 시작되는 대학교 축제날.자칭 공대 브레인 어벤져스, 현실은 모태솔로 9888일째 3인방의 로봇 동아리는 썰렁하기만 하고…이때 어딘가 허술하고 소심한 ‘휘소’ 앞에 난데없이 들이닥친 직진녀 ‘혜진’.글로 배우고 너튜브로 배운 연애세포들이여, 드디어 때가 왔다!올겨울엔 솔로 탈출, 할 수 있을까?"
51,포드 V 페라리,9,액션,"1960년대, 매출 감소에 빠진 ‘포드’는 판매 활로를 찾기 위해스포츠카 레이스를 장악한 절대적 1위 ‘페라리’와의 인수 합병을 추진한다.막대한 자금력에도 불구, 계약에 실패하고 엔초 페라리로부터 모욕까지 당한 헨리 포드 2세는르망 24시간 레이스에서 페라리를 박살 낼 차를 만들 것을 지시한다. 불가능을 즐기는 두 남자를 주목하라!세계 3대 자동차 레이싱 대회이자 ‘지옥의 레이스’로 불리는 르망 24시간 레이스.출전 경험조차 없는 ‘포드’는 대회 6연패를 차지한 ‘페라리’에 대항하기 위해르망 레이스 우승자 출신 자동차 디자이너 ‘캐롤 셸비’(맷 데이먼)를 고용하고, 그는 누구와도 타협하지 않지만 열정과 실력만큼은 최고인 레이서 ‘켄 마일스’(크리스찬 베일)를 자신의 파트너로 영입한다.포드의 경영진은 제 멋대로인 ‘켄 마일스’를 눈엣가시처럼 여기며자신들의 입맛에 맞춘 레이스를 펼치기를 강요하지만두 사람은 어떤 간섭에도 굴하지 않고 불가능을 뛰어넘기 위한 질주를 시작하는데…그 어떤 각본보다 놀라운 실화가 펼쳐진다!"
52,엔젤 해즈 폴른,8,액션,비밀 경호국 최고 요원 ‘배닝’(제라드 버틀러)의 임무수행 중'트럼불' 대통령(모건 프리먼)을 향한 의문의 사상 최대 규모의 드론 테러가 발생한다.최악의 드론 테러 사건 후 '배닝'은 대통령 암살사건의 테러범으로 지목되고국가 영웅은 한순간에 일급 수배자가 되어 FBI에게 쫓기게 되는데...표적이 된 그가 다시 움직인다!숨막히는 추격! 모두가 그를 쫓는다!
53,너를 만난 여름,8,드라마,"열일곱, 모든 게 서툴고 어설프지만 모든 게 좋았던 시간.너 ♡ 나 = 최고의 우리내가 가장 좋아하는 계절은‘너를 만난 여름’"
54,조커,8,드라마,고담시의 광대 아서 플렉은 코미디언을 꿈꾸는 남자.하지만 모두가 미쳐가는 코미디 같은 세상에서맨 정신으로는 그가 설 자리가 없음을 깨닫게 되는데…이제껏 본 적 없는 진짜 ‘조커’를 만나라!
55,퍼펙트맨,7,코미디,"퍼펙트한 인생을 위해 한탕을 꿈꾸는 건달 ‘영기’(조진웅)조직 보스의 돈 7억을 빼돌려 주식에 투자하지만, 사기꾼에게 속아 주식은 휴지조각이 되고 만다.목숨을 부지하기 위해 어떻게든 7억을 구해야 하는 영기 앞에까칠한 로펌 대표 ‘장수’(설경구)가 나타난다.두 달 시한부 ‘장수’는 자신이 해야 할 일들을 도와주는 조건으로영기에게 자신의 사망보험금을 내건 빅딜을 제안하는데…돈 쫌 많은 로펌 대표와 폼 쫌 잡는 꼴통 건달퍼펙트하게 다른 두 남자의 인생 최대 반전이 시작된다"
56,안녕 베일리,9,드라마,"“함께라서 행복해”환생만 벌써 5번째! 도무지 끝날 줄 모르는 ‘베일리’의 삶에 새로운 미션이 생겼다?! 바로 ‘이든’의 작은 베이비 ‘씨제이’를 돌보는 것.“옆에 있어줘서 고마워”소꿉놀이도 해야 하고 위험한 곳에 들어가면 짖어서 알려줘야 하고, ‘씨제이’와 함께 해야 할 일이 너무나도 많이 남았는데 ‘씨제이’는 ‘베일리’와 ‘이든’의 곁을 떠나 도시로 향한다. 7년 후 ‘몰리’로 다시 태어난 ‘베일리’는 우여곡절 끝에 ‘씨제이’의 집으로 입양되고 ‘씨제이’가 행복할 때, 슬플 때, 외로울 때 항상 옆에 있어준다.“혼자 둬서 미안해”주유소의 ‘빅독’으로 다시 태어난 ‘베일리’. ‘씨제이’를 만나기만을 기다리지만 우연히 만나게 된 ‘씨제이’는 ‘베일리’를 알아보지 못하고 떠나버린다.“내 인생은 온통 너야. 사랑해”킁킁킁… 어디서 ‘씨제이’ 냄새 안나요? ‘맥스’로 환생한 ‘베일리’는 오직 일견단심 ‘씨제이’를 기다리던 중 유기견 입양소에서 드디어 ‘씨제이’를 다시 만나게 된다.인생은 길고 견생은 짧다는데, 저 녀석을 끝까지 지켜줄 수 있을까?"
58,나의 특별한 형제,8,코미디,"비상한 두뇌를 가졌지만 동생 ‘동구’ 없이는 아무 데도 못 가는 형 ‘세하’(신하균),뛰어난 수영실력을 갖췄지만 형 ‘세하’ 없이는 아무것도 못 하는 동생 ‘동구’(이광수).이들은 피 한 방울 섞이지 않았지만 20년 동안 한 몸처럼 살아온 ‘특별한 형제’다.어느 날 형제의 보금자리 ‘책임의 집’을 운영하던 신부님이 돌아가시자모든 지원금이 끊기게 되고, 각각 다른 장애를 가진 두 사람은 헤어질 위기에 처하고 만다.세하는 ‘책임의 집’을 지키고 동구와 떨어지지 않기 위해구청 수영장 알바생이자 취준생 ‘미현’(이솜)을 수영코치로 영입하고,동구를 수영대회에 출전시켜 사람들의 이목을 집중시키는 데 성공한다.헤어지지 않을 수 있다는 희망을 본 것도 잠시,예상치 못한 인물이 형제 앞에 등장하면서 형제는 새로운 위기를 겪게 되는데...!"
59,뽀로로 극장판 보물섬 대모험,9,애니메이션,"전설 속 보물을 찾아 떠난 뽀로로와 친구들은우연히 손에 넣은 지도를 따라 신비의 보물섬에 도착한다.그곳에서 사라진 실버 선장을 만나비밀을 간직한 보물섬의 수수께끼를 풀어내지만,악당 블랙 선장과 보물섬의 괴물로 인해 위기에 빠지는데...과연 뽀로로와 친구들은 전설의 보물을 찾을 수 있을까?"
60,말모이,9,드라마,"1940년대 우리말이 점점 사라져가고 있는 경성.극장에서 해고된 후 아들 학비 때문에 가방을 훔치다 실패한 판수.하필 면접 보러 간 조선어학회 대표가 가방 주인 정환이다.사전 만드는데 전과자에다 까막눈이라니!그러나 판수를 반기는 회원들에 밀려 정환은 읽고 쓰기를 떼는 조건으로 그를 받아들인다.돈도 아닌 말을 대체 왜 모으나 싶었던 판수는 난생처음 글을 읽으며 우리말의 소중함에 눈뜨고,정환 또한 전국의 말을 모으는 ‘말모이’에 힘을 보태는 판수를 통해 ‘우리’의 소중함에 눈뜬다.얼마 남지 않은 시간, 바짝 조여오는 일제의 감시를 피해 ‘말모이’를 끝내야 하는데…우리말이 금지된 시대, 말과 마음이 모여 사전이 되다"
62,툴리,9,드라마,"신발 하나 제대로 못 찾는 첫째 딸, 남들과 조금 다른 둘째 아들, 갓 태어나서 밤낮없이 울어대는 막내,그리고 자신에겐 아무 관심도 없이 매일 밤 게임에 빠져 사는 남편까지,매일 같은 육아 전쟁에 지쳐가는 ‘마를로’(샤를리즈 테론).몸이 스무 개라도 모자란 엄마 ‘마를로’를 위해 그녀의 오빠는 야간 보모 고용을 권유한다.아이는 엄마가 돌봐야 한다고 철석같이 믿어 왔던 ‘마를로’는 고민 끝에야간 보모 ‘툴리’(맥켄지 데이비스)를 부르게 된다.홀로 삼 남매 육아를 도맡아 하면서 슈퍼 맘이 되어야만 했던 ‘마를로’ 곁에서‘툴리’는 마치 자신의 가족처럼 그녀와 아이들을 돌봐준다.슈퍼 보모이자 때로는 인생 친구가 되어 주는 ‘툴리’로 인해 ‘마를로’의 삶은 조금씩 변화하게 되는데…"
63,크레이지 리치 아시안,6,코미디,"뉴요커 레이첼은 남자친구 닉의 절친 결혼식이 열리는 싱가포르로 향한다. 처음으로 아시아를 방문한다는 설렘도 잠시, 닉의 가족을 만난다는 사실이 걱정이다. 그런데 알고 보니 닉이 싱가포르에서 가장 부유한 집안의 아들이자 모두가 선망하는 결혼 후보 1순위 신랑감이었던 것. 레이첼은 사교계 명사들의 질투와 더불어 본인을 영 탐탁지 않아하는 닉의 어머니의 타겟이 되는데… 남친의 재력을 알게 된 순간, 시월드의 문이 활짝 열렸다!"
64,퍼스트맨,6,드라마,"이제껏 누구도 경험하지 못한 세계에 도전한 우주비행사 닐(라이언 고슬링)은, 거대한 위험 속에서 극한의 위기를 체험하게 된다.전세계가 바라보는 가운데, 그는 새로운 세상을 열 첫 발걸음을 내딛는데…이제, 세계는 달라질 것이다."
65,스타 이즈 본,9,드라마,"노래에 놀라운 재능을 가졌지만 외모에는 자신이 없는 무명가수 앨리(레이디 가가)는공연을 하던 바에서 우연히 톱스타 잭슨 메인(브래들리 쿠퍼)을 만나게 된다.자신의 모든 것을 사랑해주는 잭슨의 도움으로 앨리는 자기 안의 열정을 폭발시키며 최고의 스타로 거듭나지만,잭슨은 어린 시절의 상처와 예술가적 고뇌 속에서 점점 무너져가는데…"
66,서치,8,드라마,"목요일 저녁, 딸 마고에게 걸려온 부재중전화 3통아빠 데이빗은 그 후 연락이 닿지 않는 딸이 실종됐음을 알게된다. 경찰의 조사는 본격적으로 시작되지만결정적인 단서들이 나오지 않는 가운데,실종된 날 밤 마고가 향하던 곳이 밝혀지며새로운 사실들이 발견된다.사건의 실마리를 찾은 곳은 다름 아닌 딸 마고의 노트북구글, 유튜브, 페이스북 등 SNS에서 상상조차하지 못한 딸의 진실이 펼쳐지는데… 현실에서는 찾을 수 없는 딸의 흔적을 검색하다!"
67,신과함께-인과 연,7,드라마,"천 년 동안 48명의 망자를 환생시킨 저승 삼차사, 한 명만 더 환생시키면 그들도 새로운 삶을 얻을 수 있다.하지만 강림(하정우)은 원귀였던 수홍(김동욱)을 자신들의 마지막 귀인으로 정하는 이해할 수 없는 선택을 한다.저승법 상 원귀는 소멸되어야 마땅하나 염라대왕(이정재)은 저승 삼차사에게 새로운 조건을 내걸며 강림의 제안을 수락한다.염라의 조건은 성주신(마동석)이 버티고 있어 저승 차사들이 가는 족족 실패하는 허춘삼 노인을 수홍의 재판이 끝나기 전까지 저승으로 데려오는 것. 허춘삼을 데리러 이승으로 내려간 해원맥(주지훈)과 덕춘(김향기), 하지만 성주신의 막강한 힘 앞에 속수무책으로 당하기만 하던 중 우연히 그가 천 년 전 과거에 해원맥과 덕춘을 저승으로 데려간 저승 차사였다는 사실을 알게 된다.스스로도 기억 못 하는 과거에 대한 호기심으로 해원맥과 덕춘은 성주신과 거래를 시작하는데…이승과 저승, 현재와 과거를 오가는 천 년의 비밀이 밝혀진다!"
68,신비아파트: 금빛 도깨비와 비밀의 동굴,8,액션,"100년이 넘은 신비아파트에 살고 있는 '하리', '두리' 남매와 102살 도깨비 '신비'는우연히 숲 속에 숨겨진 비밀의 동굴을 발견한다.동굴의 힘에 휩쓸려 22년 전 과거, 1996년으로 가게 된 '하리', '두리', '신비'는아파트가 사라진 마을에서 어린 시절의 엄마 '유지미'를 만난다.'유지미'의 보물지도를 따라 함께 모험을 떠나게 된 '하리', '두리', '신비'는금빛 도깨비 '금비'를 만나게 되고, 이들은 함께 오싹한 모험을 시작하는데...!"
69,인크레더블 2,9,액션,"슈퍼맘 ‘헬렌’이 국민 히어로 ‘일라스티걸’로 활약하며 세상의 주목을 받자바쁜 아내의 몫까지 집안일을 하기 위해 육아휴직을 낸 아빠 ‘밥’은질풍노도 시기의 딸 ‘바이올렛’, 자기애가 넘치는 아들 ‘대쉬’,어마무시한 능력을 시도때도 없이 방출하는 막내 ‘잭잭’까지 전담하며전쟁같은 하루하루를 보낸다.그러던 어느 날,각자의 위치에서 바쁜 일상을 보내던 슈퍼파워 가족 앞에 새로운 악당이 나타났다!다시 한번 세상을 구하기 위해 나선 가족은‘인크레더블’한 능력을 발휘할 수 있을까?"
70,오션스8,7,액션,"전 애인의 배신으로 5년간 감옥에서 썩은 ‘데비 오션’(산드라 블록)은 가석방되자마자 믿음직한 동료 ‘루’(케이트 블란쳇)와 함께 새로운 작전을 계획한다. 그들의 목표는 바로, 뉴욕 메트로폴리탄 박물관에서 열리는 미국 최대 패션 행사인 메트 갈라에 참석하는 톱스타 ‘다프네’(앤 해서웨이)의 목에 걸린 1천 5백억 원의 다이아몬드 목걸이를 훔치는 것! 디자이너부터 보석전문가, 소매치기와 해커까지, 전격 결성된 각 분야 전문가들이 마침내 실행에 나서는데…기가 막힌 작전, 그 뒤에 또 다른 목적화끈하게 훔치고 시원하게 갚는다!"
71,아이 필 프리티,8,코미디,"뛰어난 패션센스에 매력적인 성격이지만 통통한 몸매가 불만인 ‘르네’하아.. 예뻐지기만 하면 뭐든 다 할 수 있을 것만 같다.하늘에 온 마음을 담아 간절히 소원을 빌지만 당연히 달라지는 건 1%도 없고. 오늘도 헬스클럽에서 스피닝에 열중하는 ‘르네’! 집중! 또 집중! 난 할 수 있다! 예뻐질 수 있다..!!! 그러나 과도한 열정은 오히려 독이 되는 법. 미친 듯이 페달을 밟다가 헬스 클럽 바닥에 내동댕이쳐져 머리를 부딪히고..지끈지끈한 머리, 창피해서 빨개진 얼굴로 겨우 일어났는데 뭔가 이상하다!헐, 거울 속의 내가… 좀 예쁘다?! 드디어 소원성취한 ‘르네’의 참을 수 없는 웃음이 터진다!"
72,한 솔로: 스타워즈 스토리,7,액션,"최고의 파일럿을 꿈꾸던 '한 솔로'는 문제적 멘토 '베킷'의 유혹에 빠져든든한 파트너 '츄바카', 한때 연인이었던 '키라'와 함께 팀을 꾸려수수께끼의 임무에 도전한다.소문난 밀수꾼 '랜도'까지 합류,미션을 수행하는 도중 상상도 못했던 위험과 마주하게 되는데···"
73,어벤져스: 인피니티 워,8,액션,"새로운 조합을 이룬 어벤져스,역대 최강 빌런 타노스에 맞서 세계의 운명이 걸린인피니티 스톤을 향한 무한 대결이 펼쳐진다!마블의 클라이맥스를 목격하라!"
74,내일,9,다큐멘터리,어떻게 하면 우리는 더불어 잘 먹고 잘 살 수 있을까?버려진 땅에 농사를 짓는 디트로이트 시민들의 아이디어.화석연료 없이 전기를 생산하는 코펜하겐의 혁신.쓰레기 제로에 도전하는 샌프란시스코의 환경 정책.지역 화폐로 마을 경제를 살린 영국 토트네스의 지혜.시민참여로 빈곤을 퇴치한 인도 쿠탐바캄의 기적.그리고 행복한 어른을 키워내는 핀란드식 교육 철학까지.인류가 직면한 농업·에너지·경제·민주주의·교육 문제에 대한세계 10여개국 지구시민들의 유쾌한 해답을 만난다.
75,레디 플레이어 원,8,액션,"2045년, 암울한 현실과 달리 가상현실 오아시스(OASIS)에서는 누구든 원하는 캐릭터로 어디든지 갈 수 있고, 뭐든지 할 수 있고 상상하는 모든 게 가능하다. 웨이드 와츠(타이 쉐리던) 역시 유일한 낙은 대부분의 사람들이 하루를 보내는 오아시스에 접속하는 것이다. 어느 날 오아시스의 창시자인 괴짜 천재 제임스 할리데이(마크 라이런스)는 자신이 가상현실 속에 숨겨둔 3개의 미션에서 우승하는 사람에게 오아시스의 소유권과 막대한 유산을 상속한다는 유언을 남기고, 그가 사랑했던 80년대 대중문화 속에 힌트가 있음을 알린다. 제임스 할리데이를 선망했던 소년 ‘웨이드 와츠’가 첫 번째 수수께끼를 푸는 데 성공하자 이를 저지하기 위해 현실에서 살인도 마다하지 않는 ‘IOI’라는 거대 기업이 뛰어든다.모두의 꿈과 희망이 되는 오아시스를 지키기 위해서는 반드시 우승해야 한다!그리고 우승을 위해서는 가상현실이 아닌 현실세계의 우정과 사랑의 힘이 필요하기만 한데…"
76,리틀 포레스트,8,드라마,"시험, 연애, 취업… 뭐하나 뜻대로 되지 않는 일상을 잠시 멈추고고향으로 돌아온 혜원은 오랜 친구인 재하와 은숙을 만난다 남들과는 다른, 자신만의 삶을 살기 위해 고향으로 돌아온 ‘재하’, 평범한 일상에서의 일탈을 꿈꾸는 ‘은숙’과 함께직접 키운 농작물로 한끼 한끼를 만들어 먹으며겨울에서 봄, 그리고 여름, 가을을 보내고 다시 겨울을 맞이하게 된 혜원. 그렇게 특별한 사계절을 보내며 고향으로 돌아온 진짜 이유를 깨닫게 된 혜원은 새로운 봄을 맞이하기 위한 첫 발을 내딛는데…"
77,삼생삼세 십리도화,6,SF/판타지,"청구 여제 백천은 동해 왕자 탄생연에 참석하게 되고, 사별한 아내 소소를 잊지 못한 야화 태자와 그의 아들 아리를 만난다.야화와 아리가 청구에 찾아와서 막무가내로 함께 살자고 한다.백천은 서서히 마음을 열고 결혼식을 준비하지만야화의 전처 소소의 정체를 알게 되면서 걷잡을 수 없는 혼란에 빠지는데…"
79,1987,9,드라마,"1987년 1월, 경찰 조사를 받던 스물두 살 대학생이 사망한다.증거인멸을 위해 박처장(김윤석)의 주도 하에 경찰은 시신 화장을 요청하지만, 사망 당일 당직이었던 최검사(하정우)는 이를 거부하고 부검을 밀어붙인다.단순 쇼크사인 것처럼 거짓 발표를 이어가는 경찰. 그러나 현장에 남은 흔적들과 부검 소견은 고문에 의한 사망을 가리키고, 사건을 취재하던 윤기자(이희준)는 ‘물고문 도중 질식사’를 보도한다. 이에 박처장은 조반장(박희순)등 형사 둘만 구속시키며 사건을 축소하려 한다.한편, 교도소에 수감된 조반장을 통해 사건의 진상을 알게 된 교도관 한병용(유해진)은 이 사실을 수배 중인 재야인사에게 전달하기 위해 조카인 연희(김태리)에게 위험한 부탁을 하게 되는데…한 사람이 죽고, 모든 것이 변화하기 시작했다.모두가 뜨거웠던 1987년의 이야기."
81,그들이 진심으로 엮을 때,9,드라마,"우리 엄마는 종종 새로운 사랑을 찾겠다고 집을 떠나요. 그럴 때마다 저는 외삼촌 ‘마키오’를 찾아가요. 마키오 삼촌과 함께 사는 ‘린코짱’은귀여운 고양이 주먹밥과 문어 소시지 도시락도 싸주고, 매일 아침 머리를 묶어주었어요.다정한 린코짱과 나는 종이컵 전화기로 비밀 얘기도 나누는데,같이 들어보실래요?"
82,하이큐!! 재능과 센스,9,애니메이션,"'카라스노’ 고교 배구팀은 ‘인터하이’ 예선 탈락 후, 도쿄에서의 합숙 훈련 끝에 봄철 고교 배구 대회에 참가한다..결승 진출을 노릴만큼 눈에 띄게 성장한 ‘카라스노’는 드디어 준결승에서 강호 ‘아오바 죠사이’ 고교와의 결전을 치르게 된다. 다시 한 번 맞붙게 된 ‘카게야마’와 ‘오이카와’,‘카라스노’와 ‘아오바 죠사이’ 고교 사이의 경기에 모든 이들의 이목이 집중되는데…모든 것을 내건 불꽃 같은 승부가 시작된다!"
83,"귀향, 끝나지 않은 이야기",7,드라마,"이 일본군 ‘위안부’ 피해자들에 대한 ‘기록’과 ‘위로’였다면, 는 우리가 전하는 ‘약속’입니다.“언니야 이제 집에 가자”"
84,"좋아해, 너를",8,드라마,"수제 구두가게에서 일하는 ‘레온(최민기)’은 남들이 모르는 자신만의 아픈 상처로 인해 다른 사람과 소통하는 마음의 문을 닫아버린 채 묵묵히 일에만 전념하며 살아왔다. 그러던 어느 날 우연히 만나게 된 ‘소나(칸 하나에)’에게 계속 신경이 쓰인다. 구두 가게로 접수된 ‘소나’의 구두를 통해 그녀를 찾게 되지만 ‘소나’ 곁에는 언제나 ‘상수(황민현)’가 있다. 함께 일하는 ‘레온’을 남몰래 좋아하는 ‘코카제(아오야기 후미코)’는 항상 혼자 지내는 ‘레온’을 바라만 볼 뿐 아무것도 할 수가 없다. 한편, ‘소나’의 부러진 구두를 맡기러 온 ‘상수’는 ‘코카제’에게 한 눈에 반하게 되고 아르바이트 동료이자 절친인 ‘지우(김종현)’의 연인 ‘소나’에게 상담을 하게 된다."
85,애나벨: 인형의 주인,7,공포/스릴러,"인형장인과 그의 아내는 비극적인 사고로 어린 딸을 잃는다. 그리고 12년 후, 그 집에 고아원 소녀들과 수녀가 함께 살게 되는데…“딸을 다시 볼 수만 있다면 어떤 존재도 받아들이겠다 기도했어요. 그건 우리 꿀벌… 내 딸이 틀림없었죠. 인형 속에 들어가 평생 우리랑 있겠다더군요.  하지만 곧 내 딸이 아니란 걸 깨닫게 됐죠. 사악한 존재가 우릴 속여서 영혼을 빼앗으려고 했어요. 교회의 도움으로 악마를 인형 속에 가뒀고, 이제 사라진 줄 알았는데… 돌아왔어, 이렇게 될 줄 알았어…”"
