전국신세계백화점,위도,경도
서울특별시 서초구 신반포로 176 (반포동),37.5041299,127.0030692
서울특별시 중구 소공로63 (충무로1가),37.5609008,126.9809889
경기도 용인시 수지구 포은대로 536 (죽전동),37.3332397,127.1128776
부산광역시 해운대구 센텀남대로 35 / 센텀4로 15(우동),35.1687032,129.1297466
광주광역시 서구 무진대로932,35.1597624,126.8803477
경기도 하남시 미사대로 750번지,37.5434191,127.236611
경상남도 김해시 김해대로 2232,35.2284768,128.8723565
충남 천안시 동남구 만남로43,36.8196847,127.1543899
대구광역시 동구 동부로 149 (신천동),35.8778124,128.6284527
경기도 의정부시 평화로 525 (의정부동),37.7353974,127.046992
경남 창원시 마산합포구 합포로 251,35.2195797,128.5866064
서울특별시 영등포구 영등포동 4가 (영중로9),37.5171482,126.9055629