"특성별(1)",특성별(2),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
"특성별(1)",특성별(2),식료품 및 주류,식료품 및 주류,식료품 및 주류,식료품 및 주류,식료품 및 주류,식료품 및 주류,식료품 및 주류,식료품 및 주류,식료품 및 주류,식료품 및 주류,식료품 및 주류,식료품 및 주류,식료품 및 주류,식료품 및 주류,식료품 및 주류,생활가사용품,생활가사용품,생활가사용품,생활가사용품,생활가사용품,생활가사용품,생활가사용품,생활가사용품,생활가사용품,생활가사용품,생활가사용품,생활가사용품,생활가사용품,생활가사용품,생활가사용품,의류 및 잡화,의류 및 잡화,의류 및 잡화,의류 및 잡화,의류 및 잡화,의류 및 잡화,의류 및 잡화,의류 및 잡화,의류 및 잡화,의류 및 잡화,의류 및 잡화,의류 및 잡화,의류 및 잡화,의류 및 잡화,의류 및 잡화,가구 및 가전,가구 및 가전,가구 및 가전,가구 및 가전,가구 및 가전,가구 및 가전,가구 및 가전,가구 및 가전,가구 및 가전,가구 및 가전,가구 및 가전,가구 및 가전,가구 및 가전,가구 및 가전,가구 및 가전,서적 문구류,서적 문구류,서적 문구류,서적 문구류,서적 문구류,서적 문구류,서적 문구류,서적 문구류,서적 문구류,서적 문구류,서적 문구류,서적 문구류,서적 문구류,서적 문구류,서적 문구류
"특성별(1)",특성별(2),상품구매 유형,상품구매 유형,상품구매 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문구매 지역,방문구매 지역,방문구매 지역,방문구매 지역,방문구매 지역,상품구매 유형,상품구매 유형,상품구매 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문구매 지역,방문구매 지역,방문구매 지역,방문구매 지역,방문구매 지역,상품구매 유형,상품구매 유형,상품구매 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문구매 지역,방문구매 지역,방문구매 지역,방문구매 지역,방문구매 지역,상품구매 유형,상품구매 유형,상품구매 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문구매 지역,방문구매 지역,방문구매 지역,방문구매 지역,방문구매 지역,상품구매 유형,상품구매 유형,상품구매 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문구매 지역,방문구매 지역,방문구매 지역,방문구매 지역,방문구매 지역
"특성별(1)",특성별(2),방문구매,통신구매,구매안함,대형할인마트,백화점,전문점,전통시장,동네슈퍼,편의점,기타,세종시 내,대전광역시,충남충북,서울경기,그 외,방문구매,통신구매,구매안함,대형할인마트,백화점,전문점,전통시장,동네슈퍼,편의점,기타,세종시 내,대전광역시,충남충북,서울경기,그 외,방문구매,통신구매,구매안함,대형할인마트,백화점,전문점,전통시장,동네슈퍼,편의점,기타,세종시 내,대전광역시,충남충북,서울경기,그 외,방문구매,통신구매,구매안함,대형할인마트,백화점,전문점,전통시장,동네슈퍼,편의점,기타,세종시 내,대전광역시,충남충북,서울경기,그 외,방문구매,통신구매,구매안함,대형할인마트,백화점,전문점,전통시장,동네슈퍼,편의점,기타,세종시 내,대전광역시,충남충북,서울경기,그 외
"전체",소계,92.2,4.4,3.4,61.5,0.3,0.3,8.0,21.6,8.2,0.2,95.7,2.2,1.4,0.4,0.4,65.8,22.3,11.9,72.7,1.4,2.5,5.5,16.2,1.5,0.2,93.4,4.4,1.5,0.5,0.3,49.8,34.9,15.3,39.4,24.7,23.5,10.6,0.9,0.0,0.9,51.5,28.5,12.0,6.3,1.6,30.7,22.2,47.1,46.1,4.3,48.8,0.5,0.1,0.0,0.1,65.8,20.1,8.9,4.1,1.0,31.8,36.2,32.0,41.7,3.9,50.4,0.2,1.6,0.4,1.9,85.0,7.9,3.4,2.3,1.5
"읍·면·동별",조치원읍,92.3,4.2,3.6,42.5,0.5,0.1,16.8,31.9,8.0,0.1,96.5,1.1,1.6,0.5,0.3,66.6,20.6,12.8,51.0,0.5,2.3,13.7,31.0,1.2,0.2,94.6,2.0,2.7,0.4,0.2,43.9,35.1,21.1,27.0,19.4,30.2,21.8,1.3,0.0,0.4,61.8,8.9,24.0,4.1,1.3,24.0,16.4,59.7,45.2,3.9,49.1,1.8,0.0,0.0,0.0,80.8,5.3,12.1,1.8,0.0,22.5,30.1,47.4,27.2,2.8,65.2,1.4,1.9,0.0,1.5,87.8,2.8,5.2,3.2,0.9
"읍·면·동별",면지역,92.5,1.5,5.9,29.9,0.2,0.0,21.2,41.4,7.3,0.0,93.6,4.0,2.2,0.2,0.1,74.2,10.1,15.7,46.1,0.8,1.6,14.7,33.7,3.0,0.0,92.0,5.3,2.5,0.2,0.0,53.4,21.8,24.8,30.1,8.8,25.2,33.8,1.1,0.0,1.0,65.7,14.0,16.1,3.2,1.1,20.3,10.9,68.8,40.6,2.3,54.6,2.6,0.0,0.0,0.0,58.8,14.1,23.3,1.8,1.9,16.0,21.2,62.8,38.2,1.8,54.1,0.4,1.3,1.5,2.7,59.8,17.9,16.0,4.5,1.8
"읍·면·동별",동지역,92.0,5.3,2.7,74.7,0.3,0.5,2.2,13.6,8.5,0.2,96.1,2.0,1.0,0.4,0.4,63.2,26.1,10.7,86.7,1.9,2.8,0.5,6.8,1.1,0.2,93.5,4.7,0.8,0.6,0.4,50.3,38.4,11.3,44.7,30.4,21.6,1.6,0.8,0.0,0.9,45.3,36.8,8.3,7.7,1.8,35.1,26.7,38.2,47.2,4.7,47.9,0.0,0.2,0.0,0.1,64.5,23.4,6.1,4.9,1.1,38.4,41.9,19.8,44.1,4.3,47.9,0.0,1.6,0.3,1.8,87.4,7.5,1.7,1.9,1.6
"성별",남자,92.0,5.3,2.7,60.6,0.4,0.3,6.5,22.0,9.9,0.2,96.1,1.9,1.4,0.3,0.4,63.3,19.6,17.1,73.1,0.9,1.5,4.5,17.4,2.5,0.2,94.7,2.9,1.6,0.5,0.2,50.3,31.0,18.6,42.4,23.6,24.1,8.5,1.0,0.0,0.5,52.4,26.9,13.2,5.5,2.0,28.5,22.0,49.5,50.7,3.8,44.9,0.6,0.0,0.0,0.0,69.8,17.3,9.0,3.1,0.8,29.6,35.4,34.9,43.2,2.4,49.6,0.3,2.2,0.5,1.7,86.9,6.5,4.2,1.7,0.7
"성별",여자,90.4,4.3,5.3,62.2,0.2,0.3,9.4,21.1,6.6,0.1,95.3,2.6,1.3,0.4,0.3,68.2,25.0,6.9,72.4,2.0,3.3,6.5,15.1,0.6,0.1,92.2,5.7,1.3,0.4,0.4,49.4,38.7,12.0,36.4,25.8,22.9,12.8,0.9,0.0,1.2,50.7,30.2,10.8,7.1,1.3,32.8,22.4,44.8,42.2,4.7,52.2,0.5,0.2,0.0,0.2,62.5,22.4,8.8,5.0,1.2,33.9,37.1,29.0,40.4,5.1,51.1,0.1,1.1,0.2,2.0,83.3,9.1,2.7,2.7,2.2
"거주기간별",출범이전,92.0,2.1,5.9,39.2,0.3,0.2,19.2,33.8,7.4,0.1,95.3,2.4,2.0,0.2,0.1,70.6,11.8,17.6,51.4,0.7,2.4,14.8,29.7,1.0,0.0,93.9,3.5,2.3,0.3,0.0,51.8,25.1,23.1,31.0,14.0,24.9,28.7,0.9,0.0,0.5,67.0,14.4,16.1,2.0,0.6,25.7,12.7,61.6,47.3,2.0,48.1,1.7,0.5,0.0,0.5,70.6,12.4,15.2,0.4,1.4,22.6,20.9,56.6,36.2,3.3,55.8,0.7,1.2,0.6,2.1,76.5,12.0,7.6,2.9,1.0
"거주기간별",출범이후,92.2,5.4,2.4,70.7,0.3,0.4,3.3,16.5,8.6,0.2,95.8,2.2,1.1,0.5,0.4,63.8,26.7,9.5,82.5,1.8,2.5,1.2,10.0,1.7,0.2,93.1,4.8,1.1,0.6,0.4,49.0,39.0,12.0,43.1,29.4,22.9,2.7,0.9,0.0,1.0,44.7,34.7,10.2,8.2,2.1,32.7,26.1,41.1,45.7,5.0,49.1,0.1,0.0,0.0,0.0,64.3,22.5,6.9,5.3,0.9,35.7,42.7,21.7,43.1,4.0,49.0,0.1,1.7,0.3,1.8,87.2,6.8,2.3,2.1,1.6
"연령별",13~19세,86.1,2.0,11.9,23.1,0.0,0.7,0.0,23.2,52.4,0.7,98.7,0.5,0.5,0.0,0.3,32.2,12.1,55.7,62.9,1.4,15.1,0.8,8.9,10.9,0.0,93.5,5.7,0.7,0.0,0.0,29.9,38.0,32.1,34.9,30.3,28.3,0.0,1.9,0.0,4.5,52.5,33.1,9.3,5.1,0.0,6.2,8.1,85.8,64.5,0.0,35.5,0.0,0.0,0.0,0.0,92.7,7.3,0.0,0.0,0.0,44.1,33.0,22.9,34.1,1.0,59.7,0.0,4.1,0.0,1.0,96.1,3.0,0.9,0.0,0.0
"연령별",20~29세,87.4,7.9,4.7,58.6,1.3,0.0,1.1,20.4,18.5,0.0,94.5,3.2,1.9,0.5,0.0,51.5,31.3,17.2,77.4,3.0,3.4,0.2,12.1,3.8,0.0,93.0,5.4,1.1,0.4,0.0,31.3,57.9,10.9,33.1,37.8,24.6,1.9,0.4,0.0,2.3,28.7,48.2,11.9,7.6,3.5,16.6,34.0,49.4,36.0,0.0,64.0,0.0,0.0,0.0,0.0,72.3,9.2,5.3,9.6,3.6,25.9,51.1,22.9,24.6,10.2,62.3,0.0,0.7,0.0,2.3,82.8,5.5,3.8,2.9,5.0
"연령별",30~39세,91.4,7.6,1.1,82.9,0.0,0.2,2.2,11.9,2.8,0.0,96.2,2.2,1.0,0.2,0.4,58.2,38.1,3.7,86.6,2.2,3.0,1.3,5.5,1.0,0.5,93.8,4.7,0.5,0.3,0.6,41.7,51.0,7.4,37.0,38.7,21.7,1.4,0.2,0.0,1.1,42.0,35.5,13.0,8.2,1.2,31.9,38.4,29.7,37.5,6.7,55.9,0.0,0.0,0.0,0.0,60.7,25.4,9.1,3.6,1.3,31.3,53.2,15.5,37.5,3.7,54.8,0.0,1.2,0.6,2.2,88.4,6.5,3.2,0.6,1.2
"연령별",40~49세,92.6,5.3,2.1,75.9,0.5,0.7,4.4,17.2,1.3,0.0,94.8,2.8,1.5,0.3,0.5,67.2,27.1,5.6,83.7,1.7,1.3,2.1,10.5,0.4,0.2,92.7,4.9,1.7,0.5,0.2,55.0,37.4,7.5,44.9,25.4,25.5,2.3,1.3,0.0,0.6,46.4,29.7,16.4,4.7,2.8,42.6,26.1,31.3,46.3,3.8,49.3,0.3,0.0,0.0,0.4,70.0,17.7,8.4,3.3,0.6,39.0,42.6,18.4,50.8,2.2,43.2,0.6,1.4,0.0,1.9,89.5,4.8,2.9,1.6,1.2
"연령별",50~59세,97.5,1.3,1.2,63.3,0.2,0.3,10.3,23.2,2.6,0.0,94.8,2.2,1.8,0.8,0.5,85.1,11.3,3.6,73.6,0.8,1.6,5.4,17.2,1.5,0.0,91.9,4.0,3.0,0.6,0.5,70.4,18.0,11.6,43.7,20.8,23.3,11.8,0.5,0.0,0.0,55.2,25.1,11.6,6.7,1.5,44.5,12.2,43.2,49.5,4.8,45.7,0.0,0.0,0.0,0.0,60.1,21.4,12.8,4.3,1.4,34.8,26.1,39.1,45.5,5.9,45.2,0.0,0.7,0.0,2.6,71.8,17.2,4.9,4.7,1.4
"연령별",60세 이상,94.9,0.4,4.7,34.0,0.1,0.0,26.8,38.4,0.2,0.6,96.3,1.7,1.3,0.4,0.3,86.3,2.7,11.0,47.8,0.3,0.9,16.5,34.4,0.2,0.0,95.1,3.2,1.0,0.6,0.0,61.2,5.1,33.8,34.5,8.2,21.2,34.3,1.5,0.0,0.3,71.6,15.0,7.1,6.0,0.4,25.2,2.2,72.6,58.0,3.3,34.9,3.0,0.8,0.0,0.0,67.2,21.5,6.9,4.4,0.0,18.1,4.0,77.9,48.0,2.6,44.3,0.4,2.4,2.4,0.0,73.8,13.7,5.2,6.1,1.2
"연령별",65세 이상,94.5,0.2,8.1,27.0,0.1,0.0,31.2,40.6,0.1,0.9,96.8,1.5,0.8,0.6,0.2,85.4,0.7,13.9,42.1,0.2,0.6,19.8,37.2,0.2,0.0,95.6,2.3,1.2,0.9,0.0,56.5,2.1,41.4,32.4,5.1,18.3,42.0,1.7,0.0,0.4,77.4,12.5,5.7,4.4,0.0,6.2,8.1,85.8,59.2,3.0,32.9,4.9,0.0,0.0,0.0,67.9,22.7,6.1,3.4,0.0,14.7,2.2,83.1,55.3,4.6,37.2,0.8,2.1,0.0,0.0,76.3,10.5,2.3,8.8,2.1
"교육정도별",초졸이하,91.1,0.9,8.1,21.6,0.0,0.5,21.9,37.0,19.0,0.0,98.0,0.7,1.0,0.4,0.0,62.8,5.2,32.0,37.0,0.0,2.5,22.8,36.9,0.8,0.0,97.1,1.8,1.2,0.0,0.0,46.6,13.3,40.1,23.3,10.8,17.2,44.6,3.0,0.0,1.1,76.7,11.9,7.7,3.7,0.0,10.6,3.9,85.4,55.8,0.0,35.8,5.9,2.6,0.0,0.0,67.9,12.1,20.0,0.0,0.0,19.8,13.0,67.2,39.2,0.0,56.4,0.5,3.0,0.0,0.9,95.1,1.0,2.5,0.0,1.4
"교육정도별",중졸,92.9,0.5,6.6,27.7,0.2,0.0,12.7,36.8,21.8,0.7,96.8,1.4,0.9,0.8,0.2,65.6,6.1,28.3,46.2,1.0,6.3,10.3,32.2,4.0,0.0,93.6,4.7,0.6,1.1,0.0,54.8,18.8,26.4,32.9,14.1,28.4,22.4,0.3,0.0,1.8,62.0,21.0,10.9,6.0,0.0,21.0,3.6,75.5,56.6,0.8,40.7,1.9,0.0,0.0,0.0,67.8,20.3,11.1,0.8,0.0,30.5,12.7,56.9,36.8,3.6,53.1,0.0,3.5,1.4,1.6,83.7,12.4,1.4,2.4,0.0
